video_id,question_id,question_start_time,question_stop_time,question_text,answer_choices,correct_answer,timestamp
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,f25a1d54-181a-441c-a4fb-f5617b319102,0,5.854347103591159,Where is the dogman located in relation to the cat?,"[""Above"", ""Beside"", ""Below"", ""Cannot answer""]",0,2025-04-04T16:46:32.867985
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,b1309ef5-1900-4835-93a6-4c060d875c63,5.591230379834253,16.773691139502763,Where is the bee located in relation to the cat?,"[""Above"", ""Below"", ""To the side"", ""Cannot answer""]",0,2025-04-04T16:49:08.185972
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,1b8b30d9-2699-4a2f-a531-c8a8b78233ed,17.16836622513812,21.90446725276243,What is the speed of the truck ?,"[""Fast"", ""Slow"", ""Moderate"", ""Very Slow""]",0,2025-04-04T16:53:27.093306
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,6104bdbd-f781-47b1-826d-e2b57d655906,10.458889769337015,28.74550207044199,Where is the coffee decanter located in relation to the cat ?,"[""Right"", ""Left"", ""Behind"", ""Front"", ""Cannot answer""]",0,2025-04-04T16:58:35.324342
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,3a5619c8-c2e4-4dc6-b775-62923a681b3f,10.458889769337015,28.74550207044199,Where is the coffee decanter located in relation to the truck ?,"[""Front Right"", ""Front Left"", ""Behind Right"", ""Behind Left"", ""Cannot answer""]",0,2025-04-04T17:01:51.160652
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,1b0720ee-207c-42fa-9af3-9df8d4ba8016,10.458889769337015,28.74550207044199,Where is the truck located in relation to the bee ?,"[""Below and behind"", ""On the side"", ""Above and behind"", ""Below and in front"", ""Cannot answer"", ""Above and in front""]",0,2025-04-04T17:05:39.895552
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,0ca357de-2d90-4b60-a14b-14beb2725bbe,18.747066567679557,37.559912316298345,Where is the cat located in relation to the dogman at the beginning of the video ?,"[""Below and Right"", ""Below and Left"", ""Above and Right"", ""Above and Left"", ""Cannot answer""]",0,2025-04-04T17:17:24.796049
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,f0b698fc-39d7-48c2-a297-8bf6465c0e72,18.747066567679557,37.559912316298345,Where is the dogman located in relation to the cat at the beginning of the video ?,"[""Above and Left"", ""Above and Right"", ""Below and Left"", ""Below and Right"", ""Cannot answer""]",0,2025-04-04T17:18:50.033351
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,5162c594-5197-4f40-b07d-2ee8dc69ab31,48.61081471408839,79.3954713936464,Where is the dogman's house located ?,"[""Outside the city, in the suburbs"", ""Near the coast"", ""In the city"", ""In the city center"", ""Cannot answer""]",0,2025-04-04T17:22:00.112746
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,3df16dbb-6918-4f40-a5e7-2c955e4cd105,76.89586251795579,84.78936423066297,What is the direction of the wall clock in relation to the mailbox outside the house ?,"[""Facing opposite directions"", ""Facing the same direction"", ""cannot answer""]",0,2025-04-04T17:28:41.846971
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,8f461f4f-ac7a-4b08-92f3-f77951a6cc40,76.89586251795579,87.15741474447513,Where is the stairs located in relation to the mailbox ?,"[""Left"", ""Right"", ""cannot answer""]",0,2025-04-04T17:38:58.776924
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,1b7ed838-4f32-4df8-86d4-4708de9095a2,76.89586251795579,87.15741474447513,What is the direction of Phonograph in relation to the mailbox ?,"[""Facing the same direction"", ""Facing opposite directions"", ""cannot answer""]",0,2025-04-04T17:41:02.794511
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,2c668643-4e19-4365-b334-e46d787af657,76.89586251795579,87.15741474447513,What is the direction of Phonograph in relation to the clock ?,"[""Facing opposite directions"", ""Facing the same direction"", ""cannot answer""]",0,2025-04-04T17:42:48.024796
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,a0ad4235-0fd0-40e7-8e7a-e908add0b615,80.25060074585635,92.09085331491713,Where is the bed located in relation to the clock ?,"[""Above"", ""Below"", ""Beside"", ""Cannot answer""]",0,2025-04-04T17:44:47.305892
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,20367306-bd2f-4333-94af-952167cd6132,83.14488470718231,92.09085331491713,Where is the clock located in relation to the bed ?,"[""Below"", ""Above"", ""Beside"", ""Cannot answer""]",0,2025-04-04T17:49:12.323849
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,24726901-a7fb-46c0-b1fd-c8fa586baffc,83.14488470718231,92.09085331491713,Where is the ball located in relation to the phonograph ?,"[""Above"", ""To the side"", ""Below"", ""Cannot answer""]",0,2025-04-04T17:50:46.339497
g21vOmB_H9I_c2f8c066-3bc2-44f1-9886-40421f199c01,89b6aec3-60cc-456b-b239-e6949ca28cb8,83.14488470718231,92.09085331491713,What direction is the phonograph facing in relation to the window ?,"[""Towards"", ""Away"", ""Perpendicular"", ""Diagonal"", ""Cannot answer""]",0,2025-04-04T17:55:05.833238
